CustomerID,DateOfOrder,timestamp,OrderQuantity
C16368,2013-08-11,15:17:52,15
C20345,2011-04-01,19:50:00,92
C20345,2012-06-29,15:11:56,95
C20345,2012-09-22,20:49:10,74
C20345,2011-08-23,11:50:26,81
C20345,2011-10-31,11:57:02,78
C20345,2011-11-25,18:10:26,83
C20345,2011-06-08,10:17:02,86
C20345,2012-05-25,14:48:42,85
C20345,2011-05-02,21:30:02,83
C20345,2013-08-11,15:43:58,93
C20345,2012-08-07,13:28:40,90
C20345,2012-01-01,18:33:14,84
C20345,2011-05-18,10:30:58,66
C20345,2011-07-15,15:53:06,106
C20345,2013-06-29,18:34:28,86
C20345,2013-07-27,17:28:40,86
C20345,2013-10-19,19:58:02,85
C20345,2012-04-20,17:06:46,84
C20345,2012-09-03,18:35:56,88
C20345,2013-03-10,15:49:00,91
C20345,2013-10-14,20:50:44,74
C20345,2011-12-16,20:08:32,78
C20345,2011-08-13,13:09:42,76
C20345,2011-05-19,19:09:32,80
C20345,2013-10-22,20:41:14,76
C20345,2012-08-26,16:21:42,80
C20345,2011-11-07,14:31:16,80
C20345,2011-09-15,10:23:16,84
C20345,2013-02-03,10:24:40,83
C20345,2012-02-23,16:27:46,97
C20345,2011-06-19,21:54:56,81
C20345,2013-07-28,20:01:00,88
C20345,2012-06-22,17:36:22,91
C20345,2012-04-26,20:10:10,84
C20345,2013-05-25,17:34:38,79
C20345,2011-07-20,17:54:02,91
C20345,2013-12-04,16:54:26,73
C20345,2013-02-16,18:58:54,86
C20345,2011-10-04,16:11:00,84
C20345,2012-08-29,17:11:58,88
C20345,2012-08-25,18:22:12,104
C20345,2013-04-17,16:59:32,84
C20345,2012-08-09,19:27:36,94
C20345,2012-11-06,12:46:14,72
C20345,2011-08-17,12:00:00,82
C20345,2013-07-17,16:27:22,85
C20345,2011-06-25,14:19:08,87
C20345,2012-05-22,13:17:00,69
C20345,2012-05-03,21:40:54,86
C20345,2012-07-07,20:37:08,84
C20345,2012-05-31,12:45:22,82
C20345,2012-10-15,12:56:42,80
C20345,2012-03-13,15:00:06,89
C20345,2013-09-22,14:22:08,80
C20345,2011-07-08,11:00:28,99
C20345,2012-03-09,16:16:58,76
C20345,2012-11-22,12:40:42,74
C20345,2013-02-05,17:41:10,106
C20345,2012-04-16,14:16:56,81
C20345,2012-08-13,14:15:30,88
C20345,2011-12-12,11:16:54,72
C20345,2012-08-24,15:33:12,81
C20345,2012-10-21,14:16:54,86
C20345,2012-06-23,13:34:22,79
C20345,2013-09-19,20:51:56,77
C20345,2011-10-29,16:09:18,81
C20345,2013-01-25,19:56:40,94
C20345,2013-08-07,16:02:56,73
C20345,2012-12-06,18:02:58,83
C20345,2011-05-12,21:09:02,104
C20345,2011-06-07,11:14:18,85
C20345,2013-12-08,15:01:56,78
C20345,2011-11-19,17:20:32,82
C20345,2011-05-27,20:34:42,78
C20345,2011-04-02,18:14:08,81
C20345,2011-09-02,12:56:58,82
C20345,2011-04-15,19:40:22,76
C20345,2011-06-29,17:09:40,88
C20345,2012-07-18,16:35:44,83
C20345,2013-03-15,21:11:54,76
C20345,2012-12-07,13:49:00,84
C20345,2013-01-13,11:29:14,76
C20345,2012-07-22,14:07:00,80
C20345,2012-07-11,19:36:46,72
C20345,2013-07-02,20:54:34,82
C20345,2011-12-11,11:33:40,89
C20345,2012-11-27,20:31:04,90
C20345,2011-04-18,16:36:26,107
C20345,2012-09-17,17:26:22,85
C20345,2011-09-22,17:22:50,90
C20345,2012-10-29,16:23:52,91
C20345,2012-06-20,16:17:06,81
C20345,2012-04-21,18:27:06,83
C20345,2013-11-24,17:53:34,92
C20345,2012-07-04,21:48:00,85
C20345,2011-09-18,21:50:30,71
C20345,2011-09-10,16:10:40,81
C20345,2012-11-02,19:32:06,85
C20345,2011-04-14,20:28:36,90
C20345,2013-12-07,21:44:36,71
C20345,2012-02-18,11:23:10,74
C20345,2013-12-30,12:47:46,91
C20345,2012-01-17,19:18:12,87
C20345,2011-05-29,15:16:58,81
C20345,2012-03-27,18:14:38,92
C20345,2013-04-19,16:58:50,77
C20345,2013-05-16,19:26:56,81
C20345,2012-02-28,17:48:00,93
C20345,2013-06-22,13:17:12,86
C20345,2011-10-27,10:44:20,62
C20345,2012-03-04,16:04:06,90
C20345,2012-08-02,16:33:32,96
C20345,2011-12-02,17:28:06,71
C20345,2011-08-05,20:49:42,95
C20345,2013-10-31,16:18:00,78
C20345,2013-11-09,20:01:26,72
C20345,2011-08-04,15:16:20,90
C20345,2013-10-08,21:18:44,90
C20345,2012-02-09,14:27:42,87
C20345,2013-08-19,12:09:48,89
C20345,2011-12-27,15:20:04,89
C20345,2012-02-22,18:46:26,96
C20345,2012-12-08,14:25:20,87
C20345,2012-07-31,14:25:32,80
C20345,2012-06-16,12:28:40,71
C20345,2013-11-25,16:49:34,96
C20345,2011-05-11,21:25:50,70
C20345,2012-03-16,19:41:16,92
C20345,2012-02-11,12:31:18,82
C20345,2012-06-08,13:39:06,89
C20345,2013-11-11,16:59:58,89
C20345,2013-09-01,11:54:42,89
C20345,2011-07-02,10:48:50,83
C20345,2013-07-20,19:40:48,79
C20345,2011-07-22,21:51:00,77
C20345,2012-09-16,12:20:14,74
C20345,2013-05-29,14:57:38,83
C20345,2012-06-07,21:08:58,79
C20345,2012-11-14,15:46:06,85
C20345,2011-06-23,18:09:44,87
C20345,2012-12-22,21:52:28,86
C20345,2013-10-18,11:23:42,101
C20345,2013-09-11,11:16:20,85
C20345,2013-07-03,14:52:48,80
C20345,2011-11-06,14:52:28,86
C20345,2011-06-24,15:50:06,76
C20345,2011-12-29,11:17:00,68
C20345,2011-04-09,17:32:26,103
C20345,2013-08-05,17:19:38,92
C20345,2013-12-09,13:51:42,92
C20345,2013-02-14,20:01:12,75
C20345,2012-05-20,12:17:06,81
C20345,2013-02-13,12:49:22,85
C20345,2012-06-25,14:50:58,93
C20345,2013-03-03,16:53:56,90
C20345,2013-10-04,14:45:06,74
C20345,2011-12-21,16:38:02,75
C20345,2011-08-20,21:14:56,97
C20345,2011-05-31,20:30:46,83
C20345,2011-11-16,11:12:40,65
C20345,2013-12-11,11:30:48,88
C20345,2012-02-04,16:41:32,108
C20345,2013-04-02,14:49:28,83
C20345,2013-01-03,15:55:56,75
C20345,2012-12-26,16:56:50,91
C20345,2011-12-23,21:46:34,80
C20345,2013-09-08,19:13:38,91
C20345,2012-07-14,16:46:08,92
C20345,2011-09-01,12:35:54,96
C20345,2011-06-14,13:16:48,83
C20345,2011-11-30,15:32:52,93
C20345,2012-02-24,13:00:20,73
C20345,2011-09-05,15:21:08,67
C20345,2013-04-04,17:43:24,99
C20345,2012-11-23,13:25:56,77
C20345,2014-01-07,14:12:38,89
C20345,2011-07-18,20:30:12,64
C20345,2011-04-16,14:35:20,79
C20345,2011-12-10,21:08:24,85
C20345,2012-05-10,19:51:20,61
C20345,2012-01-20,15:18:52,82
C20345,2013-05-04,17:35:58,79
C20345,2011-08-06,12:26:24,86
C20345,2013-07-31,21:09:10,83
C20345,2013-05-27,13:47:14,85
C20345,2014-01-19,18:11:30,84
C17683,2010-12-01,11:38:20,27
C17683,2011-01-08,16:21:10,36
C17683,2011-05-23,16:03:24,37
C17683,2011-01-15,18:22:16,32
C17683,2011-06-02,21:03:56,29
C17683,2011-03-12,18:58:36,36
C17683,2011-05-10,21:24:28,27
C17683,2011-04-28,15:10:14,35
C17683,2011-04-18,20:14:24,35
C17683,2010-12-14,13:04:38,36
C17683,2011-03-21,10:37:50,28
C17683,2011-06-24,21:14:14,51
C17683,2011-07-06,18:12:10,34
C18647,2010-11-29,15:23:52,110
C18647,2012-08-27,14:28:30,105
C18647,2011-02-28,13:12:22,114
C18647,2011-05-11,11:25:14,117
C18647,2012-05-19,19:50:26,99
C18647,2011-12-16,17:12:02,92
C18647,2013-01-28,17:04:46,111
C36692,2011-09-21,19:54:50,75
C36692,2013-08-05,14:19:14,71
C36692,2012-04-30,17:57:48,55
C36692,2013-07-22,13:56:18,59
C36692,2012-10-10,10:49:28,62
C36692,2012-06-02,17:27:20,59
C36692,2012-09-03,11:56:02,76
C36692,2013-05-21,11:50:32,63
C36692,2013-08-06,21:17:02,67
C36692,2012-03-02,21:53:58,76
C36692,2012-08-28,13:01:32,76
C36692,2012-02-06,16:52:54,75
C36692,2011-12-11,11:27:00,60
C36692,2013-06-06,11:40:24,55
C36692,2012-11-25,18:27:54,72
C36692,2011-11-14,18:42:18,75
C36692,2013-06-08,20:17:56,61
C36692,2013-03-25,19:44:56,65
C36692,2012-11-15,13:31:42,79
C36692,2013-09-24,21:09:14,72
C36692,2013-05-31,18:43:22,68
C36692,2013-10-09,15:38:00,69
C36692,2013-07-07,21:01:24,78
C36692,2013-12-08,20:03:20,62
C36692,2013-02-03,12:54:14,73
C36692,2011-12-31,20:09:04,74
C36692,2012-06-22,15:54:26,74
C36692,2011-11-11,19:57:14,65
C36692,2013-03-23,19:28:20,70
C36692,2013-04-23,12:00:10,68
C36692,2012-04-12,16:27:10,73
C36692,2013-09-05,21:38:32,71
C36692,2013-04-22,10:51:36,83
C36692,2014-01-16,11:21:46,69
C13831,2011-02-20,19:52:36,73
C13831,2013-05-19,18:51:24,63
C13831,2011-07-06,14:46:48,62
C13831,2012-06-24,21:24:48,68
C13831,2011-03-01,14:14:16,64
C13831,2011-09-11,14:01:10,73
C13831,2013-10-05,18:03:46,68
C13831,2011-12-09,10:12:18,65
C13831,2011-03-26,17:16:02,89
C13831,2011-06-05,12:55:56,59
C13831,2011-11-08,15:04:00,59
C13831,2012-02-03,11:57:12,64
C13831,2011-09-23,19:57:10,62
C13831,2012-05-08,17:24:00,67
C13831,2013-03-02,17:21:10,61
C13831,2013-04-15,16:18:10,67
C13831,2011-12-16,15:54:16,66
C13831,2013-04-24,10:07:04,64
C13831,2013-08-09,21:57:48,52
C13831,2012-11-20,12:03:38,83
C13831,2011-09-12,12:19:54,64
C13831,2011-10-31,21:38:18,63
C13831,2013-04-16,18:49:04,71
C13831,2012-07-18,12:23:24,66
C13831,2013-09-07,18:01:36,78
C13831,2011-10-22,15:30:46,68
C13831,2012-08-12,15:12:30,60
C13831,2012-02-17,17:32:22,65
C13831,2011-12-02,13:47:40,65
C13831,2012-12-01,17:38:08,61
C13831,2013-06-25,20:09:16,67
C13831,2011-09-24,16:33:50,72
C13831,2011-04-14,18:38:54,62
C13831,2011-07-02,13:29:24,95
C13831,2013-08-04,15:22:52,66
C13831,2012-06-25,18:29:48,69
C13831,2013-10-21,16:33:08,57
C13831,2011-12-07,21:35:20,64
C13831,2012-09-24,16:10:18,72
C13831,2011-07-18,13:49:18,66
C13831,2011-10-19,15:07:18,53
C13831,2013-10-06,14:54:22,54
C13831,2012-01-26,10:37:08,64
C13831,2013-11-14,19:32:24,83
C13831,2012-09-07,11:22:28,58
C13831,2013-05-02,21:48:36,63
C13831,2013-09-08,12:32:38,65
C13831,2012-10-08,15:21:22,71
C13831,2011-10-02,10:12:06,57
C13831,2013-10-23,14:19:12,62
C13831,2012-07-04,10:06:16,60
C13831,2011-09-14,15:10:52,75
C13831,2011-06-10,19:03:26,65
C13831,2013-06-06,18:14:04,68
C13831,2012-03-02,16:30:24,74
C13831,2013-12-01,10:20:02,73
C13831,2011-05-12,21:11:54,68
C13831,2012-08-24,20:09:12,57
C13831,2012-04-30,17:14:32,54
C13831,2012-08-18,17:48:50,59
C13831,2012-11-22,12:59:30,63
C13831,2011-10-06,16:12:04,60
C13831,2011-12-12,11:35:38,53
C13831,2011-12-10,15:38:40,75
C13831,2011-10-17,16:18:42,75
C13831,2012-11-15,15:37:52,87
C13831,2012-04-24,17:26:10,60
C13831,2011-06-26,13:19:02,74
C13831,2012-08-17,19:19:56,73
C13831,2013-12-04,21:44:42,67
C13831,2013-01-01,16:36:00,60
C13831,2012-12-04,10:33:30,51
C13831,2012-07-07,19:18:46,65
C13831,2013-04-26,19:39:02,62
C13831,2013-07-03,14:05:00,58
C13831,2012-06-13,17:53:38,90
C13831,2011-07-27,13:21:10,72
C13831,2012-04-15,12:16:16,75
C13831,2011-11-30,11:10:52,62
C13831,2011-04-30,10:01:58,68
C13831,2011-07-16,12:10:32,60
C13831,2011-08-12,17:02:24,67
C13831,2012-10-22,16:30:40,77
C13831,2012-06-01,10:37:12,59
C13831,2013-01-29,17:54:34,74
C13831,2011-07-07,15:47:56,70
C13831,2013-01-28,11:46:20,57
C13831,2012-02-12,17:21:50,45
C13831,2013-01-27,14:16:38,67
C13831,2013-01-12,15:20:32,69
C13831,2012-02-23,12:12:30,61
C13831,2012-07-31,19:19:12,62
C13831,2013-12-06,14:21:42,57
C13831,2012-09-27,16:11:52,63
C13831,2012-02-28,14:25:06,66
C13831,2011-06-11,10:42:42,78
C13831,2011-10-20,15:05:00,65
C13831,2012-10-30,11:49:08,58
C13831,2011-04-18,11:01:50,61
C13831,2013-09-25,21:35:50,65
C13831,2012-01-08,11:35:58,52
C13831,2011-05-17,15:01:16,63
C13831,2012-11-10,14:17:12,78
C13831,2013-04-28,21:43:40,68
C13831,2011-03-04,13:49:14,59
C13831,2011-04-13,12:13:10,72
C13831,2011-05-16,14:36:20,65
C13831,2011-05-28,16:18:56,57
C13831,2012-12-10,14:14:18,87
C13831,2013-04-30,13:04:20,62
C13831,2011-09-13,15:25:22,61
C13831,2011-08-24,15:36:44,63
C13831,2011-05-21,14:55:00,62
C13831,2013-11-15,18:45:16,67
C13831,2011-11-04,15:35:40,80
C13831,2013-12-02,11:55:12,55
C13831,2011-06-06,19:53:14,81
C13831,2012-12-02,11:52:26,81
C13831,2012-03-18,13:57:06,59
C13831,2011-06-12,10:37:16,66
C13831,2013-06-04,10:47:08,72
C13831,2013-10-26,12:44:00,67
C13831,2012-03-01,17:13:36,69
C13831,2012-04-03,13:31:04,51
C13831,2012-08-04,20:33:48,63
C13831,2011-08-23,17:03:26,63
C13831,2012-12-30,15:53:26,70
C13831,2011-08-21,15:57:18,64
C13831,2012-04-18,17:27:18,57
C13831,2012-02-21,15:38:56,59
C13831,2012-02-26,20:10:16,59
C13831,2011-11-26,19:21:38,71
C13831,2013-06-18,19:41:32,57
C13831,2013-09-22,11:11:58,69
